 529 1  -nan  -nan  1.000  -nan  -nan  -nan  1.000  -nan  -nan  -nan  -nan  -nan  -nan  1.000  -nan  -nan 
 563 1  -nan  -nan  1.000  -nan  -nan  -nan  1.000  -nan  -nan  -nan  -nan  0.000  -nan  1.000  -nan  -nan 
 567 1  -nan  -nan  1.000  -nan  -nan  -nan  1.000  -nan  -nan  -nan  -nan  0.000  -nan  1.000  -nan  -nan 
 578 1  -nan  -nan  0.600  -nan  0.000  -nan  0.500  0.000  -nan  -nan  -nan  0.000  -nan  1.000  -nan  -nan 
 582 1  -nan  -nan  0.429  0.000  0.000  -nan  0.500  0.000  -nan  -nan  -nan  0.000  -nan  1.000  0.000  -nan 
 603 1  -nan  -nan  0.429  0.000  0.000  -nan  0.333  0.000  -nan  -nan  -nan  0.000  -nan  1.000  0.000  -nan 
 621 1  -nan  -nan  0.429  0.000  0.000  -nan  0.333  0.000  -nan  -nan  -nan  0.000  -nan  1.000  0.000  -nan 
 629 1  -nan  -nan  0.429  0.000  0.000  -nan  0.250  0.000  -nan  -nan  -nan  0.000  -nan  1.000  0.000  -nan 
 636 1  -nan  -nan  0.429  0.000  0.000  -nan  0.250  0.000  -nan  -nan  -nan  0.000  -nan  1.000  0.333  -nan 
 665 1  -nan  -nan  0.375  0.000  0.000  -nan  0.200  0.000  -nan  0.000  -nan  0.000  -nan  1.000  0.333  -nan 
 667 1  -nan  -nan  0.333  0.000  0.000  -nan  0.167  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.333  -nan 
 679 1  -nan  -nan  0.273  0.000  0.000  -nan  0.167  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.250  -nan 
 682 1  -nan  -nan  0.273  0.000  0.000  -nan  0.125  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.167  -nan 
 700 1  -nan  -nan  0.385  0.000  0.000  -nan  0.222  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.286  -nan 
 715 1  -nan  -nan  0.333  0.000  0.000  -nan  0.222  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.286  -nan 
 772 1  -nan  -nan  0.333  0.000  0.000  -nan  0.200  0.000  -nan  0.000  -nan  0.000  -nan  0.500  0.250  -nan 
 787 1  -nan  -nan  0.333  0.000  0.000  -nan  0.182  0.000  -nan  0.000  -nan  0.000  -nan  0.333  0.250  -nan 
 789 1  -nan  0.000  0.333  0.000  0.000  -nan  0.182  0.000  -nan  0.000  -nan  0.000  -nan  0.333  0.222  -nan 
