 501 2  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  1.000  -nan  -nan 
 518 2  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  1.000  -nan  -nan 
 521 2  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  0.000  -nan  -nan  -nan  1.000  -nan  -nan 
 541 2  -nan  0.000  -nan  -nan  -nan  -nan  -nan  0.000  -nan  0.000  -nan  -nan  -nan  0.667  -nan  -nan 
 546 2  -nan  0.000  -nan  -nan  -nan  -nan  -nan  0.000  -nan  0.000  -nan  -nan  -nan  0.500  0.000  -nan 
 554 2  -nan  0.000  -nan  -nan  -nan  -nan  -nan  0.000  -nan  0.000  -nan  -nan  -nan  0.500  0.000  -nan 
 559 2  -nan  0.000  -nan  -nan  -nan  -nan  -nan  0.000  -nan  0.000  -nan  -nan  -nan  0.500  0.000  -nan 
 574 2  -nan  0.000  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  -nan  0.333  0.000  -nan 
 580 2  -nan  0.167  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  -nan  0.333  0.000  -nan 
 594 2  -nan  0.167  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  -nan  0.222  0.000  -nan 
 604 2  -nan  0.167  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  -nan  0.200  0.000  -nan 
 627 2  -nan  0.143  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  0.000  0.182  0.000  -nan 
 647 2  -nan  0.125  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  0.000  0.182  0.000  -nan 
 648 2  -nan  0.111  -nan  -nan  -nan  -nan  0.000  0.000  -nan  0.000  -nan  0.000  0.000  0.167  0.000  -nan 
 672 2  -nan  0.111  -nan  -nan  -nan  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.154  0.000  -nan 
 676 2  -nan  0.111  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.154  0.000  -nan 
 684 2  -nan  0.111  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.154  0.000  -nan 
 688 2  -nan  0.100  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.133  0.000  -nan 
 696 2  -nan  0.091  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.118  0.000  -nan 
 699 2  -nan  0.083  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.100  0.000  -nan 
 763 2  -nan  0.083  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.100  0.000  -nan 
 777 2  -nan  0.154  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.000  -nan 
 790 2  -nan  0.154  -nan  -nan  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.000  -nan 
 793 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.000  -nan 
 802 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.136  0.000  -nan 
 805 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.130  0.000  -nan 
 814 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.130  0.000  -nan 
 818 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.125  0.000  -nan 
 833 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.120  0.000  -nan 
 837 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.115  0.000  -nan 
 853 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.115  0.000  -nan 
 858 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.000  -nan 
 869 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.000  -nan 
 870 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.000  -nan 
 878 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.103  0.000  -nan 
 880 2  -nan  0.154  -nan  0.000  0.000  -nan  0.000  0.000  0.000  0.000  -nan  0.000  0.000  0.097  0.000  -nan 
 881 2  -nan  0.154  -nan  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.097  0.000  -nan 
 892 2  -nan  0.143  -nan  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 907 2  -nan  0.133  -nan  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 912 2  -nan  0.125  -nan  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 923 2  -nan  0.125  0.000  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 924 2  -nan  0.263  0.000  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 936 2  -nan  0.263  0.000  0.000  0.000  -nan  0.333  0.000  0.000  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 954 2  -nan  0.263  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 955 2  -nan  0.300  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.094  0.000  -nan 
 978 2  -nan  0.286  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.091  0.000  -nan 
 981 2  -nan  0.273  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.088  0.000  -nan 
 993 2  -nan  0.273  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.086  0.000  -nan 
 995 2  -nan  0.250  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.083  0.000  -nan 
 1009 2  -nan  0.280  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.083  0.000  -nan 
 1015 2  -nan  0.269  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.083  0.000  -nan 
 1017 2  -nan  0.269  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.081  0.000  -nan 
 1023 2  -nan  0.269  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.081  0.000  -nan 
 1025 2  -nan  0.250  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.079  0.000  -nan 
 1034 2  -nan  0.241  0.000  0.000  0.167  -nan  0.333  0.000  0.250  0.000  -nan  0.000  0.000  0.077  0.000  -nan 
 1035 2  -nan  0.241  0.000  0.000  0.167  -nan  0.333  0.000  0.200  0.000  -nan  0.000  0.000  0.073  0.000  -nan 
 1054 2  -nan  0.241  0.000  0.000  0.167  -nan  0.333  0.000  0.200  0.000  -nan  0.000  0.000  0.073  0.000  -nan 
 1073 2  -nan  0.241  0.000  0.000  0.125  -nan  0.333  0.000  0.200  0.000  -nan  0.000  0.000  0.073  0.000  -nan 
 1095 2  -nan  0.226  0.000  0.000  0.125  -nan  0.333  0.000  0.200  0.000  -nan  0.000  0.000  0.073  0.000  -nan 
 1099 2  -nan  0.219  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.073  0.000  -nan 
 1105 2  -nan  0.212  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.071  0.000  -nan 
 1108 2  -nan  0.212  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.071  0.000  -nan 
 1124 2  -nan  0.212  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.068  0.000  -nan 
 1128 2  -nan  0.212  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.067  0.000  -nan 
 1134 2  -nan  0.206  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.067  0.000  -nan 
 1139 2  -nan  0.206  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.067  0.000  -nan 
 1140 2  -nan  0.200  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.067  0.000  -nan 
 1151 2  -nan  0.194  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.067  0.000  -nan 
 1168 2  -nan  0.194  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.064  0.000  -nan 
 1181 2  -nan  0.189  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.064  0.000  -nan 
 1191 2  -nan  0.189  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.062  0.000  -nan 
 1222 2  -nan  0.189  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.062  0.000  -nan 
 1231 2  -nan  0.184  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.061  0.000  -nan 
 1240 2  -nan  0.179  0.000  0.000  0.125  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.061  0.000  -nan 
 1241 2  -nan  0.179  0.000  0.000  0.111  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.060  0.000  -nan 
 1243 2  -nan  0.179  0.000  0.000  0.111  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.060  0.000  -nan 
 1264 2  -nan  0.179  0.000  0.000  0.111  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.059  0.000  -nan 
 1297 2  -nan  0.179  0.000  0.000  0.111  -nan  0.333  0.000  0.167  0.000  -nan  0.000  0.000  0.059  0.000  -nan 
 1300 2  -nan  0.175  0.000  0.000  0.100  -nan  0.333  0.000  0.143  0.000  -nan  0.000  0.000  0.059  0.000  -nan 
 1322 2  -nan  0.175  0.000  0.000  0.100  -nan  0.250  0.000  0.111  0.000  -nan  0.000  0.000  0.059  0.000  -nan 
 1325 2  -nan  0.171  0.000  0.000  0.100  -nan  0.250  0.000  0.111  0.000  -nan  0.000  0.000  0.059  0.000  -nan 
