 256  0.092  0.288  -1.742  0.194  -1.830  -1.921  |  0.000  0.000  0.000  0.000  0.000  0.000  |  0.258  0.257  0.258  0.258 
 261  0.097  0.282  -1.845  0.185  -1.723  -1.928  |  0.037  0.115  -0.697  0.078  -0.732  -0.768  |  0.258  0.257  0.258  0.258 
 271  0.101  0.275  -1.746  0.173  -1.797  -1.947  |  0.057  0.171  -1.086  0.113  -1.055  -1.155  |  0.258  0.257  0.258  0.258 
 286  0.078  0.240  -1.758  0.161  -1.761  -1.972  |  0.078  0.224  -1.416  0.145  -1.430  -1.549  |  0.258  0.257  0.258  0.259 
 326  0.098  0.266  -1.470  0.160  -1.634  -1.946  |  0.089  0.265  -1.770  0.175  -1.775  -1.948  |  0.258  0.257  0.258  0.259 
 335  0.101  0.242  -1.378  0.130  -1.562  -1.844  |  0.095  0.266  -1.658  0.168  -1.710  -1.948  |  0.258  0.257  0.259  0.259 
 361  0.027  0.174  -1.451  0.137  -1.445  -1.748  |  0.096  0.253  -1.546  0.151  -1.663  -1.910  |  0.259  0.257  0.259  0.259 
 400  0.039  0.152  -1.540  0.109  -1.526  -1.714  |  0.066  0.219  -1.502  0.145  -1.569  -1.852  |  0.258  0.257  0.259  0.259 
 415  0.059  0.158  -1.317  0.089  -1.379  -1.655  |  0.061  0.197  -1.476  0.129  -1.539  -1.793  |  0.258  0.257  0.259  0.259 
 459  0.057  0.133  -1.406  0.073  -1.545  -1.661  |  0.057  0.177  -1.400  0.111  -1.458  -1.723  |  0.258  0.257  0.259  0.259 
 478  0.047  0.122  -1.263  0.072  -1.325  -1.629  |  0.048  0.150  -1.424  0.096  -1.488  -1.688  |  0.259  0.256  0.259  0.259 
 493  0.048  0.113  -1.235  0.059  -1.309  -1.544  |  0.050  0.137  -1.358  0.083  -1.420  -1.658  |  0.259  0.256  0.259  0.259 
 563  0.027  0.072  -1.185  0.045  -1.224  -1.513  |  0.052  0.128  -1.291  0.071  -1.373  -1.607  |  0.259  0.268  0.251  0.252 
 571  0.026  0.070  -1.295  0.044  -1.310  -1.399  |  0.041  0.102  -1.255  0.059  -1.325  -1.572  |  0.255  0.272  0.251  0.251 
 583  0.032  0.061  -1.216  0.028  -1.279  -1.398  |  0.035  0.089  -1.255  0.053  -1.296  -1.497  |  0.255  0.272  0.251  0.251 
 591  0.030  0.054  -1.335  0.023  -1.312  -1.364  |  0.033  0.075  -1.229  0.041  -1.280  -1.450  |  0.255  0.273  0.250  0.251 
 594  0.030  0.055  -1.218  0.028  -1.326  -1.405  |  0.029  0.062  -1.273  0.033  -1.287  -1.407  |  0.255  0.273  0.250  0.251 
 607  0.032  0.053  -1.166  0.014  -1.165  -1.357  |  0.030  0.059  -1.256  0.030  -1.311  -1.394  |  0.259  0.273  0.246  0.251 
 651  0.030  0.051  -1.207  0.018  -1.251  -1.300  |  0.031  0.055  -1.220  0.021  -1.249  -1.376  |  0.260  0.272  0.242  0.255 
 682  0.036  0.034  -1.259  -0.011  -1.272  -1.224  |  0.030  0.053  -1.227  0.020  -1.261  -1.345  |  0.257  0.265  0.248  0.261 
 715  0.034  -0.000  -1.097  -0.032  -1.113  -1.168  |  0.033  0.045  -1.222  0.007  -1.257  -1.302  |  0.250  0.290  0.241  0.246 
 724  0.034  0.005  -1.061  -0.027  -1.087  -1.158  |  0.033  0.028  -1.165  -0.009  -1.183  -1.243  |  0.247  0.276  0.243  0.262 
 767  0.036  0.002  -1.171  -0.039  -1.136  -1.202  |  0.033  0.019  -1.137  -0.016  -1.162  -1.202  |  0.240  0.266  0.253  0.271 
 781  0.044  -0.005  -1.234  -0.048  -1.204  -1.076  |  0.035  0.009  -1.152  -0.030  -1.149  -1.191  |  0.232  0.243  0.267  0.293 
 807  0.044  -0.010  -1.174  -0.053  -1.198  -1.103  |  0.039  -0.001  -1.160  -0.039  -1.149  -1.136  |  0.236  0.241  0.263  0.295 
 825  0.046  -0.010  -1.039  -0.061  -1.105  -0.978  |  0.040  -0.003  -1.163  -0.044  -1.165  -1.128  |  0.235  0.251  0.261  0.287 
 839  0.042  -0.005  -1.100  -0.057  -1.159  -1.051  |  0.043  -0.006  -1.131  -0.052  -1.150  -1.067  |  0.233  0.256  0.259  0.284 
 891  0.025  -0.042  -1.057  -0.075  -1.005  -1.017  |  0.043  -0.007  -1.130  -0.055  -1.165  -1.052  |  0.235  0.262  0.254  0.281 
 907  0.030  -0.037  -1.075  -0.075  -1.151  -1.032  |  0.036  -0.021  -1.085  -0.064  -1.094  -1.033  |  0.234  0.261  0.255  0.282 
 930  0.027  -0.040  -1.098  -0.075  -1.040  -1.084  |  0.035  -0.026  -1.069  -0.069  -1.114  -1.022  |  0.221  0.275  0.259  0.273 
 966  0.022  -0.046  -1.125  -0.069  -1.170  -0.998  |  0.030  -0.033  -1.086  -0.072  -1.079  -1.054  |  0.224  0.268  0.260  0.277 
 1008  0.025  -0.048  -1.069  -0.073  -1.084  -0.919  |  0.025  -0.042  -1.096  -0.073  -1.107  -1.026  |  0.227  0.249  0.264  0.294 
 1101  0.028  -0.042  -1.138  -0.079  -1.241  -1.090  |  0.026  -0.044  -1.087  -0.073  -1.106  -0.991  |  0.225  0.250  0.265  0.294 
 1111  0.029  -0.039  -1.079  -0.075  -1.131  -0.953  |  0.026  -0.044  -1.114  -0.075  -1.155  -1.036  |  0.224  0.252  0.265  0.292 
 1149  0.027  -0.050  -1.037  -0.080  -1.084  -1.063  |  0.026  -0.043  -1.098  -0.074  -1.151  -0.983  |  0.224  0.252  0.265  0.292 
 1208  0.033  -0.048  -0.811  -0.081  -0.893  -0.844  |  0.027  -0.046  -1.072  -0.077  -1.125  -1.018  |  0.224  0.249  0.267  0.294 
 1221  0.033  -0.057  -1.047  -0.087  -1.083  -0.917  |  0.030  -0.045  -0.975  -0.079  -1.048  -0.959  |  0.224  0.249  0.267  0.294 
 1224  0.032  -0.046  -0.986  -0.074  -0.993  -0.915  |  0.031  -0.050  -1.004  -0.082  -1.055  -0.939  |  0.224  0.249  0.267  0.294 
 1228  0.031  -0.052  -1.092  -0.088  -1.141  -1.007  |  0.032  -0.049  -0.973  -0.079  -1.009  -0.931  |  0.224  0.249  0.267  0.294 
 1278  0.035  -0.058  -1.004  -0.088  -1.032  -0.961  |  0.032  -0.051  -1.006  -0.083  -1.050  -0.938  |  0.221  0.212  0.279  0.329 
 1322  0.036  -0.052  -1.088  -0.085  -1.081  -0.989  |  0.033  -0.054  -1.027  -0.085  -1.056  -0.952  |  0.224  0.208  0.278  0.332 
